BackMop,A,B,S
387.42,0.00663839839398861,0.0577520669127504,299
388.37,0.00408193469047546,0.0410833315302928,344
389.38,0.00402823556214571,0.0331297512166202,368
390.46,0.00211560912430286,0.0357248596847057,36
391.5,0.00335504300892353,0.0519756426413854,-6
392.43,0.00309807620942593,0.0420368105793993,365
393.35,0.00329314917325974,0.0461718474204342,21
394.27,0.00424523092806339,0.0281331012956798,99
395.28,0.00647425465285778,0.0301715647801757,106
396.33,0.00366106815636158,0.0247058387224873,118
397.33,0.00122565031051636,0.0449280344570676,97
398.35,0.0133818555623293,0.0594653729349375,323
399.36,0.00280161947011948,0.0430672814448675,363
400.3,0.0148991532623768,0.069347503905495,279
401.29,0.00483965687453747,0.0529383042206367,355
402.38,0.00581963360309601,0.0506199893231193,82
403.34,0.00971036590635777,0.0515276845544577,19
405.12,0.00326811149716377,0.0347928336511056,-11
406.19,0.0125618632882833,0.0500182621181011,85
407.27,0.00290664657950401,0.0415466564397017,147
408.23,0.00354227237403393,0.0494566059981783,64
409.15,0.0035152155905962,0.0419259595995148,53
410.14,0.00640358962118626,0.0467801885679364,105
411.22,0.00231374241411686,0.040981770803531,71
412.21,0.00188609957695007,0.0432505561038852,349
413.17,0.00291420705616474,0.0397491358841459,83
414.16,0.00517850555479527,0.0561721234892805,363
415.06,0.00631274469196796,0.0482016243040562,338
448.97,NaN,NaN,NaN
449.8,0.00809426978230476,0.0782294602443774,217
450.73,0.00267891027033329,0.0522318181271354,43
451.71,0.00973590090870857,0.0509976161022981,189
456.75,NaN,NaN,NaN
458.5,NaN,NaN,NaN
459.38,0.00627542473375797,0.0503087202087045,363
460.39,NaN,NaN,NaN
461.35,NaN,NaN,NaN
471.18,0.0541360303759575,0.169004862507184,98
471.93,NaN,NaN,NaN
496.1,0.0244335979223251,0.16421319420139,93
496.95,0.0023749154061079,0.0525413177286585,-9
497.85,0.00372076965868473,0.0473567840332786,36
498.8,0.00978612154722214,0.0604387478282054,70
499.9,0.00277009233832359,0.0297150487701098,125
500.99,0.00272590480744839,0.0311305390981336,-8
502.09,0.00348016060888767,0.0335246905063589,96
503.01,0.00305088236927986,0.0322703931791087,46
503.81,0.00395407807081938,0.0282196349774798,41
504.68,0.0052719721570611,0.0321040494988362,84
505.82,0.00349348038434982,0.0299321090181669,75
507.04,0.00301277451217175,0.0318003116796414,233
508,0.00181052926927805,0.0319943114494284,41
508.99,0.0061456086114049,0.029784489578257,90
510.11,0.00336417742073536,0.0340863922610879,106
511.2,0.000845645554363728,0.0272410957453152,64
512.18,0.00434787292033434,0.0340836291822294,51
519.98,NaN,NaN,NaN
520.82,0.00477193668484688,0.0385094086329142,216
521.7,0.00117702689021826,0.0176071221940219,332
522.61,0.000609852373600006,0.0196372247301042,366
523.59,0.0038751233369112,0.0387143002202113,50
524.62,0.00460063014179468,0.0303099201992154,28
525.61,0.00246035493910313,0.0315856727150579,174
526.69,0.0041177049279213,0.0375673718129595,291
527.82,0.00294503010809422,0.0362186261142294,276
528.85,0.00104210339486599,0.0239575887098908,-9
529.8,0.00347968935966492,0.0418678252026439,43
530.73,0.00313759781420231,0.0418543961519996,55
531.71,0.00388861913233995,0.0307721303155025,92
532.67,0.000984733924269676,0.0227264238831898,347
533.66,0.00230697914958,0.0351173651094238,87
534.78,0.00250727310776711,0.0365232955664396,349
535.8,0.00158025696873665,0.0339102645715078,357
536.76,0.00203775241971016,0.0347460222740968,100
537.7,0.00182205066084862,0.0346957106764118,313
538.59,0.00834996253252029,0.0422331430017948,158
539.5,0.00358401425182819,0.0394210480153561,89
540.63,0.00278026424348354,0.0401879738395413,76
541.69,0.00491960346698761,0.037702934195598,368
542.68,0.00221223942935467,0.0389970159158111,354
543.68,0.00557877495884895,0.0412165761614839,83
544.68,0.00596681423485279,0.0476004468897978,138
545.73,0.00218439567834139,0.0325327985920012,54
546.76,0.00317849032580853,0.0360405792792638,73
547.77,0.00663710385560989,0.0337891867384315,111
548.77,0.00535177253186703,0.0423441339905063,126
549.75,0.00214805267751217,0.0312563516199589,368
550.7,0.00404877588152885,0.0352898314595222,29
551.65,0.0074546430259943,0.0456564268097281,39
552.63,0.0177976861596107,0.0564979529008269,90
553.58,0.00811390578746796,0.0452926509703199,88
554.52,0.00519197341054678,0.0333067309111357,61
555.52,0.00448160339146852,0.0337556459320088,98
556.56,0.0041453130543232,0.0471042233208815,331
557.5,0.00817306898534298,0.0361217789662381,373
558.42,0.00719749927520752,0.0480511104688048,367
559.48,0.00439064018428326,0.050863789084057,311
560.67,0.00236546993255615,0.0453652165209254,103
561.81,0.00442254170775414,0.0489500916252534,45
562.82,0.00293008983135223,0.0467663941284021,47
563.74,0.00373503193259239,0.0447121309116483,33
564.68,0.0212292838841677,0.0739581681167086,96
565.63,0.0104436986148357,0.0660144733265042,84
567.94,0.0159613266587257,0.0916614004721244,349
569.06,0.006241200491786,0.0648574332396189,108
570.07,0.00802326947450638,0.0616028684501847,330
571.1,0.00253147445619106,0.0508509076510867,353
572.08,0.0126215703785419,0.0634716379766663,178
573.01,0.0109984949231148,0.0724229527016481,229
573.97,0.0035152155905962,0.037825433537364,363
575.07,0.00263044238090515,0.0444693357373277,64
576.19,0.00674937665462494,0.0482955975458026,364
577.18,0.00598475709557533,0.0538836186751723,320
578.16,0.00334667414426804,0.0378321710353096,41
579.16,0.00280371773988008,0.0202769734896719,368
580.15,0.00638523045927286,0.0368096873474618,98
581.17,0.00506251864135265,0.045683984644711,277
582.19,0.00139843951910734,0.0325152751368781,317
583.15,0.00334523804485798,0.042321336766084,36
584.07,0.0073325801640749,0.04793573046724,222
585.04,0.0030509177595377,0.0381087573866049,-13
586.12,0.00197621434926987,0.041321387514472,342
587.13,0.0023797769099474,0.0408499026671052,370
588.02,NaN,NaN,NaN
588.94,NaN,NaN,NaN
590.77,NaN,NaN,NaN
591.5,NaN,NaN,NaN
592.39,0.00315162353217602,0.0357770475869377,361
593.42,0.00786689110100269,0.041008054278791,109
594.37,0.004312664270401,0.0405668060605725,16
595.33,0.00536621920764446,0.0528580602258444,89
596.26,0.00293553806841373,0.0428045003985365,322
597.31,0.00883047096431255,0.052769404835999,89
598.42,0.0020333044230938,0.0398927889764309,309
599.43,0.00469686277210712,0.0452212691307068,93
600.37,0.00193736329674721,0.0499186171218753,354
601.33,0.00753728114068508,0.0458071936542789,83
602.3,0.00474008731544018,0.0413614225884279,336
603.33,0.00193106569349766,0.0471082407360276,26
604.4,0.00202812254428864,0.0494849123060703,94
605.44,0.00242078676819801,0.0410415089378754,322
606.44,0.00486762635409832,0.0416433454180757,125
607.26,0.00528722815215588,0.0504681073750059,233
608.21,0.00317778810858727,0.0522289319584767,6
609.34,0.00896415300667286,0.0537682374318441,198
610.31,0.00510143488645554,0.0416348998745283,283
611.33,0.00594441220164299,0.0488678077235818,316
612.35,0.0168099217116833,0.0695865495751301,134
613.25,0.00281056202948093,0.0564024215564132,80
614.21,0.00596795976161957,0.0470790863037109,199
615.23,0.0123054478317499,0.0510675441473722,141
616.33,0.00582989864051342,0.0441656118879716,176
617.32,0.00174825824797153,0.0439138098930319,321
618.21,0.00722268782556057,0.0547580039128661,72
619.13,0.00138448551297188,0.0420308463896314,59
620.1,0.00535362772643566,0.055859765658776,70
621.08,0.00437239184975624,0.0401596110314131,137
622.1,0.000935042276978493,0.0345794226353367,334
623.11,0.00516173802316189,0.036396900502344,116
624.12,0.00368545763194561,0.0392178641632199,31
625.15,0.00437185168266296,0.0348877310752869,21
626.19,0.0083404527977109,0.0378659043150643,56
627.22,0.00591869279742241,0.0403200813258688,64
628.2,0.00710041262209415,0.0406095410386721,75
629.23,0.00327862985432148,0.0453751763949792,60
630.23,0.00300737004727125,0.0303959470863144,80
631.09,0.00645614787936211,0.0429170572509368,116
632.01,0.00131724216043949,0.0368401057397326,94
633.06,0.00180658511817455,0.0344181004911661,129
634.09,NaN,NaN,NaN
635.02,NaN,NaN,NaN
637.7,NaN,NaN,NaN
638.5,NaN,NaN,NaN
639.5,0.00734438374638557,0.0734296577672164,285
640.47,NaN,NaN,NaN
641.5,0.00806012377142906,0.0530014351631204,199
642.46,0.00599823985248804,0.0366712212562561,204
643.44,0.00130069255828857,0.0337941637262702,30
